,Unnamed: 0,objid,u,g,r,i,z,redshift
0,38961,1237665355619238171,19.24956,17.73069,16.74191,16.26377,15.86265,0.23616914857142862
1,23750,1237662307805364513,18.54511,17.13545,16.3116,15.864120000000002,15.58756,0.2530659285714286
2,15644,1237657591395123370,18.75322,17.74889,17.11328,16.73893,16.4719,0.2538468266666667
3,40641,1237667293730373721,19.3341,18.40721,17.63578,17.18365,16.93425,0.25894237142857146
4,37578,1237664852026916979,19.62918,18.26902,17.5488,17.17748,16.88937,0.25175287714285716
5,26704,1237662268077179126,18.86693,17.66246,17.0026,16.64167,16.36755,0.2552411428571429
6,23538,1237662267530739936,19.094520000000006,18.17178,17.78143,17.515610000000002,17.39716,0.24921006571428572
7,20581,1237661383844102384,19.73222,18.59211,17.831310000000006,17.382189999999998,17.17219,0.2522544742857143
8,7709,1237650372094197798,19.9927,18.22375,17.33932,17.03605,16.70736,0.25304196857142863
9,1215,1237651539779977398,19.12123,18.26765,17.78629,17.49703,17.40411,0.2481260885714286
10,39186,1237666214607454371,20.06263,19.28527,18.75451,18.41531,18.29688,0.21169073142857142
11,26587,1237662198819717330,19.12682,18.05033,17.5351,17.25164,17.07413,0.23900167142857143
12,31071,1237664105243607346,19.98813,18.61741,17.80698,17.31767,17.0665,0.2522544742857143
13,9635,1237655746705228066,18.75094,17.68777,17.18786,16.86196,16.68429,0.2538468266666667
14,39925,1237665428641022215,19.13271,18.31255,18.004939999999994,17.66256,17.57741,0.22593811142857145
15,20623,1237661383851573391,18.7706,16.78424,15.769620000000002,15.331829999999998,14.99126,0.25298116571428575
16,43810,1237667551955779732,18.81066,17.60139,16.93274,16.56844,16.295370000000002,0.25463149142857144
17,931,1237651538179063967,19.29275,18.21649,17.63035,17.32541,17.1596,0.2481925571428572
18,29633,1237664671643664581,19.26775,17.36626,16.38382,15.98022,15.62253,0.22741964857142863
19,10506,1237651753474326686,19.51295,18.37335,17.654889999999995,17.261329999999994,16.98548,0.25654923714285716
20,20963,1237660614509002915,18.4541,17.17952,16.480079999999994,16.07915,15.81611,0.2607375314285714
21,16690,1237660584981102719,19.51276,17.68917,16.701079999999994,16.298,15.97538,0.2370368428571429
22,41535,1237667781774409899,19.84249,18.074720000000006,17.172079999999998,16.73343,16.4263,0.24872442000000006
